ads_Cu,ads_Co,ads_Ni,ads_Zn,ads_Fe,surf_Cu,surf_Co,surf_Ni,surf_Zn,surf_Fe,sub_Cu,sub_Co,sub_Ni,sub_Zn,sub_Fe,delta_E_H
0,1,0,2,0,1,4,0,1,0,1,3,1,1,0,0.13837
0,1,1,1,0,1,0,1,1,3,2,2,0,0,2,-0.19838
1,1,0,0,1,0,2,1,1,2,0,1,4,0,1,-0.0962
0,0,2,0,1,1,2,1,2,0,1,0,2,3,0,-0.11056
3,0,0,0,0,2,0,2,2,0,3,0,1,1,1,-0.12962
1,0,0,1,1,1,1,0,2,2,1,0,3,1,1,0.15882
0,0,1,1,1,2,0,1,2,1,0,0,1,3,2,-0.09872
1,1,1,0,0,0,0,1,3,2,2,3,1,0,0,-0.16606
0,1,0,0,2,0,0,1,2,3,2,1,2,0,1,-0.14535
0,0,0,3,0,1,0,1,2,2,2,1,2,1,0,0.02404
0,1,1,1,0,1,2,1,2,0,2,1,0,1,2,-0.33582
0,1,1,0,1,1,2,1,1,1,2,1,1,1,1,0.03689
1,1,0,0,1,1,3,1,0,1,2,1,1,2,0,0.07683
1,0,1,0,1,3,0,0,1,2,0,1,1,4,0,0.14575
0,0,0,0,3,2,0,1,1,2,2,2,2,0,0,-0.33022
1,0,0,1,1,2,2,0,1,1,3,0,1,1,1,0.27258
0,1,1,0,1,1,1,1,2,1,3,1,1,0,1,-0.11838
0,0,1,0,2,0,2,2,2,0,0,2,1,1,2,-0.06456
2,0,0,1,0,2,3,0,0,1,2,0,1,1,2,0.04999
1,0,0,2,0,2,1,1,0,2,1,0,3,2,0,0.34231
0,1,0,0,2,2,2,0,1,1,1,3,1,0,1,0.01443
0,0,1,1,1,0,3,1,1,1,1,1,1,2,1,0.02321
2,0,1,0,0,3,1,0,1,1,1,1,0,1,3,0.326
0,2,0,0,1,1,1,1,2,1,2,0,0,3,1,-0.19818
1,0,0,0,2,3,2,1,0,0,0,2,2,2,0,0.02051
0,0,0,1,2,1,1,1,3,0,3,0,1,2,0,-0.23908
1,0,1,1,0,0,2,1,1,2,1,1,1,1,2,-0.45971
0,0,1,2,0,2,1,1,1,1,1,0,1,2,2,-0.44555
1,1,0,1,0,1,2,0,3,0,1,1,0,3,1,0.12052